"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08","WT10"
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-28","0.00",,,"59","68","49",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-29","0.00",,,"62","73","50",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-30","0.00",,,"65","76","54",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-01-31","0.00",,,"65","74","53",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-01","0.00",,,"70","77","66",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-02","0.00",,,"74","84","63",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-03","0.00",,,"65","75","52",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-04","0.00",,,"71","77","67",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-05","0.63",,,"73","75","58","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-06","0.00",,,"64","76","57",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-07","0.00",,,"69","73","65",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-08","0.01",,,"70","78","62",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-09","0.94",,,"68","79","59","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-10","0.00",,,"67","73","57",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-11","0.00",,,"61","73","51",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-12","0.00",,,"62","74","51",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-13","0.00",,,"62","73","52",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-14","0.00",,,"56","67","45",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-15","0.00",,,"58","75","46",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-16","0.00",,,"65","76","54",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-17","0.00",,,"71","83","60",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-18","0.11",,,"66","68","50","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-19","0.00",,,"52","60","44",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-20","0.00",,,"49","64","38",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-21","0.00",,,"66","76","63",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-22","0.00",,,"74","81","69",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-23","0.00",,,"74","83","66",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-24","0.00",,,"75","86","62",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-25","0.00",,,"72","82","61",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-26","0.01",,,"78","87","69",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-27","0.10",,,"68","71","65","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-02-28","0.25",,,"73","79","71","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-01","0.00",,,"76","82","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-02","0.00",,,"77","81","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-03","0.00",,,"76","82","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-04","0.00",,,"77","83","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-05","0.00",,,"78","85","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-06","0.00",,,"77","84","69",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-07","0.08",,,"71","76","64","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-08","0.00",,,"74","78","71",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-09","0.00",,,"76","84","73",,,,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-10","0.00",,,"78","84","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-11","0.06",,,"79","85","76","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-12","0.00",,,"79","86","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-13","0.00",,,"79","84","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-14","0.00",,,"79","85","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-15","0.00",,,"76","84","66",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-16","0.00",,,"78","84","72",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-17","0.00",,,"77","87","68",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-18","0.00",,,"74","83","66",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-19","0.00",,,"76","85","68","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-20","0.00",,,"78","90","68",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-21","0.00",,,"78","88","69",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-22","0.00",,,"78","90","69","    1",,,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-23","0.01",,,"76","87","67",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-24","0.00",,,"74","83","68","    1","    1",,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-25","0.11",,,"76","85","68","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-26","0.05",,,"78","85","72","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-27","0.73",,,"78","91","67","    1",,"    1","    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-28","0.00",,,"66","72","57",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-29","0.00",,,"63","74","51",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-30","0.00",,,"66","77","54",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-03-31","0.00",,,"69","80","57",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-01","0.00",,,"74","84","64",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-02","0.00",,,"74","84","65",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-03","0.00",,,"76","84","66",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-04","0.00",,,"75","84","65",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-05","0.00",,,"76","84","65",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-06","0.00",,,"78","83","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-07","0.00",,,"79","84","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-08","0.00",,,"78","83","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-09","0.00",,,"79","84","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-10","0.00",,,"79","86","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-11","0.00",,,"80","88","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-12","0.40",,,"80","87","70","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-13","0.00",,,"80","86","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-14","0.00",,,"80","86","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-15","0.00",,,"80","88","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-16","0.08",,,"79","86","73","    1",,,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-17","0.22",,,"80","89","74",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-18","0.03",,,"81","93","73",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-19","0.00",,,"81","91","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-20","2.13",,,"79","91","71","    1","    1","    1","    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-21","1.71",,,"77","84","71","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-22","0.00",,,"77","86","72",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-23","0.43",,,"77","85","72","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-24","0.13",,,"77","86","71","    1",,,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-25","0.03",,,"81","88","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-26","0.00",,,"83","96","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-27","1.20",,,"83","93","73","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-28","1.20",,,"77","84","71","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-29","0.49",,,"77","82","72","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-04-30","0.00",,,"76","80","70",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-01","0.00",,,"74","83","65",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-02","0.00",,,"76","81","68",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-03","0.00",,,"76","81","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-04","0.00",,,"76","80","72",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-05","0.21",,,"76","78","69","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-06","0.55",,,"74","83","68","    1",,,"    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-07","0.30",,,"75","86","65",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-08","0.00",,,"78","88","68",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-09","0.01",,,"80","88","71",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-10","0.00",,,"80","86","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-11","0.00",,,"81","87","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-12","0.05",,,"81","86","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-13","0.00",,,"81","87","78",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-14","0.00",,,"82","87","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-15","0.22",,,"81","86","76","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-16","0.00",,,"80","86","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-17","0.02",,,"81","86","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-18","0.00",,,"80","85","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-19","0.00",,,"80","86","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-20","0.00",,,"80","89","71",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-21","0.06",,,"81","91","74","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-22","0.00",,,"81","89","74",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-23","0.02",,,"81","89","74","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-24","0.00",,,"82","89","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-25","0.01",,,"83","89","78",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-26","0.03",,,"83","87","78","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-27","0.00",,,"82","87","79",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-28","0.03",,,"81","86","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-29","0.04",,,"80","86","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-30","0.01",,,"81","87","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-05-31","0.00",,,"81","88","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-01","0.00",,,"81","89","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-02","0.40",,,"80","85","71","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-03","1.25",,,"76","84","70","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-04","0.00",,,"79","87","71",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-05","0.00",,,"81","86","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-06","0.00",,,"80","87","74",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-07","0.22",,,"79","85","72","    1",,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-08","0.00",,,"82","87","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-09","0.02",,,"81","88","74",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-10","0.36",,,"80","90","71","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-11","0.00",,,"78","89","71",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-12","0.00",,,"84","89","81",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-13","0.00",,,"84","88","81",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-14","0.01",,,"83","88","80",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-15","0.00",,,"84","90","80",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-16","0.00",,,"84","89","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-17","0.00",,,"84","90","80",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-18","0.00",,,"85","92","80",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-19","0.00",,,"84","91","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-20","0.00",,,"85","92","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-21","0.00",,,"84","91","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-22","0.00",,,"85","92","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-23","0.00",,,"86","93","82",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-24","0.00",,,"86","92","81",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-25","0.04",,,"85","92","78",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-26","0.15",,,"83","90","78",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-27","0.33",,,"83","90","76","    1",,"    1","    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-28","0.21",,,"82","90","76",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-29","1.00",,,"82","94","74","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-06-30","0.03",,,"82","93","72","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-01","0.00",,,"82","91","72",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-02","0.45",,,"84","90","78","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-03","0.00",,,"84","90","76",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-04","0.05",,,"82","88","76",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-05","0.00",,,"85","90","73",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-06","0.00",,,"82","90","73",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-07","0.00",,,"83","88","78",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-08","0.00",,,"84","90","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-09","0.00",,,"85","90","81",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-10","0.01",,,"85","91","80",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-11","0.00",,,"84","92","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-12","0.00",,,"84","92","75",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-13","0.00",,,"85","93","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-14","0.78",,,"83","96","75","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-15","0.29",,,"82","93","76","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-16","0.58",,,"80","88","75","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-17","0.43",,,"81","91","74","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-18","0.06",,,"80","91","74",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-19","0.00",,,"83","91","76",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-20","0.00",,,"84","92","78",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-21","0.00",,,"85","93","77",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-22","0.00",,,"84","93","77",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-23","1.09",,,"83","93","74","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-24","0.10",,,"80","91","77",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-25","0.05",,,"80","89","77",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-26","0.26",,,"79","89","75","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-27","0.59",,,"81","93","75","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-28","0.00",,,"83","94","76",,,,,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-29","0.03",,,"82","89","75",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-30","0.00",,,"83","92","78",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-07-31","1.27",,,"81","91","72","    1","    1","    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-08-01","0.04",,,"79","90","73",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-08-02","0.00",,,"81","90","74",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-08-03","0.13",,,"80","89","73","    1",,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-08-04","0.03",,,"81","90","72","    1",,"    1","    1",
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-08-05","0.01",,,"83","91","76",,,"    1",,
"USW00012844","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","2015-08-06","0.00",,,"84","91","76",,,,,
